#{"t_start": 1761919861.099034, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
105.0,1529,1.158538
50.0,1775,1.435251
50.0,1485,1.678149
90.0,1933,1.973984
210.0,1989,2.278625
35.0,1051,2.44024
160.0,2217,2.77909
215.0,2901,3.219087
125.0,1893,3.512212
65.0,1489,3.73933
160.0,2153,4.067989
80.0,1883,4.356747
60.0,1185,4.540289
110.0,2137,4.869229
150.0,1921,5.162748
180.0,2439,5.537439
35.0,1225,5.7264
320.0,3109,6.20045
180.0,2193,6.535763
135.0,2033,6.848575
135.0,1707,7.110684
440.0,2791,7.532196
100.0,1587,7.777201
260.0,3851,8.356442
50.0,1693,8.617064
20.0,1149,8.792481
210.0,2489,9.173171
65.0,2221,9.515414
165.0,1889,9.80558
180.0,2371,10.170415
135.0,1955,10.472582
305.0,2155,10.804504
575.0,3075,11.266716
210.0,2065,11.582772
240.0,2953,12.030736
75.0,1493,12.26119
215.0,2469,12.637516
210.0,2045,12.947502
80.0,1363,13.154929
120.0,2269,13.501302
110.0,1843,13.783783
120.0,2021,14.093365
180.0,2957,14.542583
55.0,1849,14.826583
50.0,1637,15.076582
120.0,1699,15.336426
210.0,2327,15.692084
30.0,1733,15.958498
210.0,2397,16.325421
65.0,1525,16.558934
55.0,1511,19.154532
110.0,1461,19.383057
210.0,2521,19.772985
245.0,3029,20.240194
50.0,1241,20.437511
30.0,1117,20.612334
60.0,2125,20.943182
310.0,2475,21.321898
110.0,1911,21.620322
185.0,2101,21.94464
40.0,1687,22.207924
155.0,2177,22.544742
120.0,2049,22.864142
210.0,2331,23.223929
105.0,1559,23.466649
310.0,3403,23.980835
140.0,2325,24.34226
50.0,1509,24.577618
225.0,2619,24.980992
55.0,1765,25.256923
450.0,2725,25.676839
125.0,2071,25.999595
55.0,1303,26.202188
180.0,1965,26.506815
135.0,2365,26.873739
210.0,3113,27.352711
85.0,1907,27.650268
240.0,2875,28.092896
135.0,2345,28.459269
265.0,2697,28.875375
35.0,1467,29.103625
65.0,1591,29.351321
355.0,2933,29.804838
45.0,1223,29.99498
135.0,1877,30.285807
180.0,2827,30.722532
185.0,1897,31.016531
105.0,1837,31.302565
100.0,1645,31.560325
415.0,2495,31.948472
85.0,1785,32.22615
180.0,1857,32.513885
75.0,1089,32.684055
110.0,1747,32.956809
20.0,1643,33.212064
185.0,1913,33.505353
60.0,1533,33.743005
60.0,1491,33.973459
250.0,2871,34.415117
155.0,1941,34.714394
210.0,1873,37.406774
35.0,1799,37.687217
110.0,2153,38.022926
330.0,2461,38.400027
50.0,1571,38.644275
135.0,1675,38.904592
105.0,1603,39.153327
155.0,1893,39.445951
180.0,3257,39.945538
135.0,2449,40.327037
240.0,2241,40.671782
110.0,1987,40.981807
150.0,2389,41.348552
90.0,1823,41.633486
25.0,1027,41.793209
80.0,1321,41.997537
110.0,3149,42.483751
75.0,1845,42.76982
80.0,1205,42.95761
120.0,2125,43.287179
110.0,2239,43.635019
410.0,4605,44.331925
